GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MutationDemo JaCoCo,com.newt.JacocoMutationDemo.logger,Log4jWrapper,0,14,0,0,0,7,0,3,0,3
MutationDemo JaCoCo,com.newt.JacocoMutationDemo.bean,AccountProfile,12,61,0,0,4,27,4,17,4,17
MutationDemo JaCoCo,com.newt.JacocoMutationDemo.bean,AccountSummary,17,28,0,0,7,12,5,8,5,8
MutationDemo JaCoCo,com.newt.JacocoMutationDemo,BillingServicesTest,65,279,0,0,15,77,0,10,0,10
MutationDemo JaCoCo,com.newt.JacocoMutationDemo.test,TestAccountProfile,74,0,2,0,18,0,5,0,4,0
MutationDemo JaCoCo,com.newt.JacocoMutationDemo.constants,ApplicationConstants,0,23,0,0,0,2,0,1,0,1
MutationDemo JaCoCo,com.newt.JacocoMutationDemo.util,PropertyLoader,11,51,0,0,2,13,0,3,0,3
MutationDemo JaCoCo,com.newt.JacocoMutationDemo.services,BillingServices,47,181,8,8,9,41,8,7,0,7
MutationDemo JaCoCo,com.newt.JacocoMutationDemo.dao,AccountProfileDaoImpl,225,237,12,2,50,74,10,4,3,4
MutationDemo JaCoCo,com.newt.JacocoMutationDemo.dao,AccountSummaryDaoImpl,313,154,16,2,77,51,14,4,5,4
